query,intent,target,parameter,modifier,conditions
Monitor inverter — output_power seems intermittent.,monitor,inverter,output_power,intermittent,at_night
Check inverter — temperature seems sudden_drop.,check,inverter,temperature,sudden_drop,none
Optimize the pv_array output_power.,optimize,pv_array,output_power,sudden_drop,post_storm
Diagnose the high fault_code in the charge_controller.,diagnose,charge_controller,fault_code,high,post_storm
Optimize anomaly in grid_tie_inverter irradiance.,optimize,grid_tie_inverter,irradiance,sudden_drop,at_night
Log issue detected in pv_array current.,log,pv_array,current,unstable,post_storm
Inspect irradiance readings on the inverter.,inspect,inverter,irradiance,overload,during_peak_hours
Check sensor discrepancy: battery_bank load_balance.,check,battery_bank,load_balance,intermittent,none
Inspect anomaly in microgrid_controller irradiance.,inspect,microgrid_controller,irradiance,none,at_night
Check the inverter current.,check,inverter,current,overload,at_night
Optimize pv_array — load_balance seems low.,optimize,pv_array,load_balance,low,during_peak_hours
Reset the grid_tie_inverter output_power.,reset,grid_tie_inverter,output_power,high,post_storm
Check sensor discrepancy: microgrid_controller fault_code.,check,microgrid_controller,fault_code,sudden_drop,at_night
Reset issue detected in inverter current.,reset,inverter,current,overload,post_storm
Check the none load_balance in the microgrid_controller.,check,microgrid_controller,load_balance,none,none
Optimize inverter — voltage seems high.,optimize,inverter,voltage,high,under_cloud_cover
Diagnose temperature readings on the solar_panel.,diagnose,solar_panel,temperature,high,at_night
Inspect the critical current in the pv_array.,inspect,pv_array,current,critical,at_night
Monitor the charge_controller temperature.,monitor,charge_controller,temperature,none,during_peak_hours
Reset issue detected in pv_array irradiance.,reset,pv_array,irradiance,overload,heatwave
Monitor anomaly in solar_panel efficiency.,monitor,solar_panel,efficiency,high,under_cloud_cover
Diagnose why the solar_panel current is none.,diagnose,solar_panel,current,none,post_storm
Inspect microgrid_controller — load_balance seems sudden_drop.,inspect,microgrid_controller,load_balance,sudden_drop,at_night
Reset sensor discrepancy: smart_meter frequency.,reset,smart_meter,frequency,none,at_night
Log anomaly in grid_tie_inverter current.,log,grid_tie_inverter,current,overload,none
Reset issue detected in grid_tie_inverter efficiency.,reset,grid_tie_inverter,efficiency,unstable,none
Reset issue detected in microgrid_controller load_balance.,reset,microgrid_controller,load_balance,overload,at_night
Diagnose why the solar_panel frequency is low.,diagnose,solar_panel,frequency,low,during_peak_hours
Check the intermittent irradiance in the grid_tie_inverter.,check,grid_tie_inverter,irradiance,intermittent,post_storm
Monitor issue detected in battery_bank temperature.,monitor,battery_bank,temperature,low,during_peak_hours
Diagnose why the solar_panel output_power is high.,diagnose,solar_panel,output_power,high,at_night
Monitor issue detected in pv_array current.,monitor,pv_array,current,critical,during_peak_hours
Inspect sensor discrepancy: pv_array temperature.,inspect,pv_array,temperature,high,during_peak_hours
Log sensor discrepancy: pv_array output_power.,log,pv_array,output_power,sudden_drop,under_cloud_cover
Log the overload frequency in the microgrid_controller.,log,microgrid_controller,frequency,overload,during_peak_hours
Log anomaly in inverter irradiance.,log,inverter,irradiance,critical,under_cloud_cover
Diagnose the overload fault_code in the charge_controller.,diagnose,charge_controller,fault_code,overload,none
Inspect sensor discrepancy: inverter temperature.,inspect,inverter,temperature,low,post_storm
Monitor the unstable output_power in the inverter.,monitor,inverter,output_power,unstable,post_storm
Inspect why the inverter voltage is none.,inspect,inverter,voltage,none,post_storm
Diagnose the inverter voltage.,diagnose,inverter,voltage,intermittent,under_cloud_cover
Reset issue detected in pv_array irradiance.,reset,pv_array,irradiance,high,none
Optimize sensor discrepancy: solar_panel state_of_charge.,optimize,solar_panel,state_of_charge,low,none
Monitor why the solar_panel fault_code is intermittent.,monitor,solar_panel,fault_code,intermittent,during_peak_hours
Reset the charge_controller state_of_charge.,reset,charge_controller,state_of_charge,none,under_cloud_cover
Reset the overload state_of_charge in the solar_panel.,reset,solar_panel,state_of_charge,overload,none
Diagnose pv_array — load_balance seems overload.,diagnose,pv_array,load_balance,overload,under_cloud_cover
Check sensor discrepancy: solar_panel temperature.,check,solar_panel,temperature,low,at_night
Check why the solar_panel fault_code is unstable.,check,solar_panel,fault_code,unstable,none
Log issue detected in pv_array state_of_charge.,log,pv_array,state_of_charge,sudden_drop,at_night
Inspect issue detected in inverter temperature.,inspect,inverter,temperature,intermittent,post_storm
Log the inverter temperature.,log,inverter,temperature,intermittent,none
Check the sudden_drop output_power in the charge_controller.,check,charge_controller,output_power,sudden_drop,during_peak_hours
Reset anomaly in inverter fault_code.,reset,inverter,fault_code,intermittent,during_peak_hours
Optimize microgrid_controller — temperature seems low.,optimize,microgrid_controller,temperature,low,under_cloud_cover
Predict sensor discrepancy: microgrid_controller efficiency.,predict,microgrid_controller,efficiency,overload,post_storm
Log why the pv_array current is intermittent.,log,pv_array,current,intermittent,heatwave
Optimize the unstable load_balance in the charge_controller.,optimize,charge_controller,load_balance,unstable,under_cloud_cover
Inspect anomaly in pv_array voltage.,inspect,pv_array,voltage,high,at_night
Monitor charge_controller — efficiency seems intermittent.,monitor,charge_controller,efficiency,intermittent,none
Monitor issue detected in grid_tie_inverter fault_code.,monitor,grid_tie_inverter,fault_code,none,none
Check the solar_panel current.,check,solar_panel,current,none,under_cloud_cover
Log anomaly in grid_tie_inverter frequency.,log,grid_tie_inverter,frequency,intermittent,under_cloud_cover
Check anomaly in microgrid_controller fault_code.,check,microgrid_controller,fault_code,sudden_drop,heatwave
Predict the smart_meter fault_code.,predict,smart_meter,fault_code,unstable,at_night
Monitor temperature readings on the pv_array.,monitor,pv_array,temperature,low,under_cloud_cover
Optimize sensor discrepancy: microgrid_controller state_of_charge.,optimize,microgrid_controller,state_of_charge,none,post_storm
Log why the battery_bank efficiency is low.,log,battery_bank,efficiency,low,heatwave
Diagnose fault_code readings on the solar_panel.,diagnose,solar_panel,fault_code,low,heatwave
Check the pv_array temperature.,check,pv_array,temperature,intermittent,none
Inspect the grid_tie_inverter temperature.,inspect,grid_tie_inverter,temperature,critical,heatwave
Inspect the low state_of_charge in the solar_panel.,inspect,solar_panel,state_of_charge,low,none
Reset the sudden_drop voltage in the charge_controller.,reset,charge_controller,voltage,sudden_drop,post_storm
Reset the sudden_drop fault_code in the charge_controller.,reset,charge_controller,fault_code,sudden_drop,post_storm
Reset sensor discrepancy: pv_array output_power.,reset,pv_array,output_power,critical,post_storm
Predict why the inverter output_power is intermittent.,predict,inverter,output_power,intermittent,heatwave
Monitor efficiency readings on the battery_bank.,monitor,battery_bank,efficiency,critical,post_storm
Reset grid_tie_inverter — temperature seems unstable.,reset,grid_tie_inverter,temperature,unstable,during_peak_hours
Inspect charge_controller — irradiance seems low.,inspect,charge_controller,irradiance,low,under_cloud_cover
Check sensor discrepancy: pv_array frequency.,check,pv_array,frequency,none,none
Monitor the high temperature in the inverter.,monitor,inverter,temperature,high,heatwave
Predict battery_bank — current seems unstable.,predict,battery_bank,current,unstable,none
Diagnose the high temperature in the charge_controller.,diagnose,charge_controller,temperature,high,at_night
Monitor battery_bank — state_of_charge seems high.,monitor,battery_bank,state_of_charge,high,during_peak_hours
Check issue detected in grid_tie_inverter efficiency.,check,grid_tie_inverter,efficiency,critical,during_peak_hours
Monitor charge_controller — frequency seems high.,monitor,charge_controller,frequency,high,none
Diagnose the smart_meter irradiance.,diagnose,smart_meter,irradiance,critical,at_night
Diagnose issue detected in charge_controller fault_code.,diagnose,charge_controller,fault_code,unstable,none
Monitor the overload output_power in the charge_controller.,monitor,charge_controller,output_power,overload,during_peak_hours
Check why the pv_array output_power is intermittent.,check,pv_array,output_power,intermittent,post_storm
Inspect the intermittent fault_code in the smart_meter.,inspect,smart_meter,fault_code,intermittent,at_night
Diagnose frequency readings on the pv_array.,diagnose,pv_array,frequency,none,heatwave
Inspect anomaly in pv_array current.,inspect,pv_array,current,none,heatwave
Optimize sensor discrepancy: inverter irradiance.,optimize,inverter,irradiance,critical,at_night
Monitor why the solar_panel frequency is low.,monitor,solar_panel,frequency,low,post_storm
Optimize the smart_meter frequency.,optimize,smart_meter,frequency,none,heatwave
Check current readings on the microgrid_controller.,check,microgrid_controller,current,overload,under_cloud_cover
Optimize the critical voltage in the solar_panel.,optimize,solar_panel,voltage,critical,post_storm
Optimize issue detected in smart_meter efficiency.,optimize,smart_meter,efficiency,critical,during_peak_hours
Optimize issue detected in battery_bank output_power.,optimize,battery_bank,output_power,overload,heatwave
Diagnose frequency readings on the battery_bank.,diagnose,battery_bank,frequency,sudden_drop,at_night
Predict sensor discrepancy: pv_array load_balance.,predict,pv_array,load_balance,none,during_peak_hours
Monitor why the pv_array load_balance is sudden_drop.,monitor,pv_array,load_balance,sudden_drop,heatwave
Diagnose the low irradiance in the inverter.,diagnose,inverter,irradiance,low,under_cloud_cover
Diagnose charge_controller — current seems intermittent.,diagnose,charge_controller,current,intermittent,during_peak_hours
Diagnose anomaly in solar_panel efficiency.,diagnose,solar_panel,efficiency,sudden_drop,post_storm
Reset fault_code readings on the inverter.,reset,inverter,fault_code,low,post_storm
Predict issue detected in microgrid_controller efficiency.,predict,microgrid_controller,efficiency,low,none
Check efficiency readings on the microgrid_controller.,check,microgrid_controller,efficiency,low,none
Log issue detected in grid_tie_inverter efficiency.,log,grid_tie_inverter,efficiency,none,during_peak_hours
Inspect sensor discrepancy: grid_tie_inverter state_of_charge.,inspect,grid_tie_inverter,state_of_charge,intermittent,under_cloud_cover
Monitor the critical state_of_charge in the grid_tie_inverter.,monitor,grid_tie_inverter,state_of_charge,critical,heatwave
Reset sensor discrepancy: inverter state_of_charge.,reset,inverter,state_of_charge,none,at_night
Check issue detected in microgrid_controller state_of_charge.,check,microgrid_controller,state_of_charge,none,heatwave
Predict charge_controller — voltage seems low.,predict,charge_controller,voltage,low,heatwave
Inspect the inverter fault_code.,inspect,inverter,fault_code,sudden_drop,post_storm
Optimize why the charge_controller irradiance is high.,optimize,charge_controller,irradiance,high,under_cloud_cover
Log issue detected in smart_meter temperature.,log,smart_meter,temperature,sudden_drop,post_storm
Check issue detected in pv_array current.,check,pv_array,current,intermittent,during_peak_hours
Check the battery_bank state_of_charge.,check,battery_bank,state_of_charge,critical,at_night
Check sensor discrepancy: smart_meter current.,check,smart_meter,current,sudden_drop,under_cloud_cover
Check why the pv_array output_power is low.,check,pv_array,output_power,low,post_storm
Check the sudden_drop voltage in the microgrid_controller.,check,microgrid_controller,voltage,sudden_drop,heatwave
Optimize sensor discrepancy: pv_array voltage.,optimize,pv_array,voltage,low,heatwave
Diagnose grid_tie_inverter — efficiency seems intermittent.,diagnose,grid_tie_inverter,efficiency,intermittent,none
Predict anomaly in solar_panel output_power.,predict,solar_panel,output_power,critical,under_cloud_cover
Optimize issue detected in charge_controller irradiance.,optimize,charge_controller,irradiance,high,at_night
Diagnose issue detected in solar_panel fault_code.,diagnose,solar_panel,fault_code,overload,during_peak_hours
Predict battery_bank — state_of_charge seems unstable.,predict,battery_bank,state_of_charge,unstable,during_peak_hours
Reset the sudden_drop efficiency in the grid_tie_inverter.,reset,grid_tie_inverter,efficiency,sudden_drop,during_peak_hours
Log anomaly in charge_controller current.,log,charge_controller,current,high,during_peak_hours
Reset frequency readings on the pv_array.,reset,pv_array,frequency,overload,none
Inspect the inverter load_balance.,inspect,inverter,load_balance,overload,heatwave
Optimize the battery_bank state_of_charge.,optimize,battery_bank,state_of_charge,high,under_cloud_cover
Optimize pv_array — current seems high.,optimize,pv_array,current,high,none
Reset issue detected in grid_tie_inverter current.,reset,grid_tie_inverter,current,high,heatwave
Monitor the charge_controller frequency.,monitor,charge_controller,frequency,unstable,post_storm
Diagnose issue detected in microgrid_controller load_balance.,diagnose,microgrid_controller,load_balance,none,post_storm
Diagnose grid_tie_inverter — irradiance seems low.,diagnose,grid_tie_inverter,irradiance,low,at_night
Predict anomaly in pv_array output_power.,predict,pv_array,output_power,overload,post_storm
Diagnose voltage readings on the solar_panel.,diagnose,solar_panel,voltage,sudden_drop,post_storm
Inspect sensor discrepancy: solar_panel output_power.,inspect,solar_panel,output_power,none,heatwave
Optimize the solar_panel frequency.,optimize,solar_panel,frequency,sudden_drop,under_cloud_cover
Log the inverter voltage.,log,inverter,voltage,intermittent,none
Optimize why the smart_meter efficiency is unstable.,optimize,smart_meter,efficiency,unstable,none
Monitor the microgrid_controller efficiency.,monitor,microgrid_controller,efficiency,none,post_storm
Check why the inverter output_power is sudden_drop.,check,inverter,output_power,sudden_drop,heatwave
Log sensor discrepancy: grid_tie_inverter current.,log,grid_tie_inverter,current,sudden_drop,none
Reset the pv_array efficiency.,reset,pv_array,efficiency,none,during_peak_hours
Diagnose issue detected in battery_bank efficiency.,diagnose,battery_bank,efficiency,critical,heatwave
Log the sudden_drop irradiance in the grid_tie_inverter.,log,grid_tie_inverter,irradiance,sudden_drop,during_peak_hours
Monitor the microgrid_controller irradiance.,monitor,microgrid_controller,irradiance,critical,none
Diagnose why the grid_tie_inverter current is overload.,diagnose,grid_tie_inverter,current,overload,under_cloud_cover
Predict why the inverter irradiance is intermittent.,predict,inverter,irradiance,intermittent,at_night
Diagnose the microgrid_controller load_balance.,diagnose,microgrid_controller,load_balance,sudden_drop,during_peak_hours
Predict anomaly in solar_panel output_power.,predict,solar_panel,output_power,overload,at_night
Monitor battery_bank — load_balance seems high.,monitor,battery_bank,load_balance,high,heatwave
Check voltage readings on the battery_bank.,check,battery_bank,voltage,high,during_peak_hours
Monitor anomaly in grid_tie_inverter voltage.,monitor,grid_tie_inverter,voltage,sudden_drop,during_peak_hours
Predict output_power readings on the microgrid_controller.,predict,microgrid_controller,output_power,critical,post_storm
Diagnose the grid_tie_inverter load_balance.,diagnose,grid_tie_inverter,load_balance,low,none
Monitor anomaly in microgrid_controller voltage.,monitor,microgrid_controller,voltage,overload,under_cloud_cover
Inspect sensor discrepancy: charge_controller fault_code.,inspect,charge_controller,fault_code,overload,during_peak_hours
Inspect solar_panel — fault_code seems critical.,inspect,solar_panel,fault_code,critical,post_storm
Predict why the pv_array voltage is sudden_drop.,predict,pv_array,voltage,sudden_drop,heatwave
Diagnose solar_panel — fault_code seems high.,diagnose,solar_panel,fault_code,high,none
Log the unstable frequency in the inverter.,log,inverter,frequency,unstable,under_cloud_cover
Optimize sensor discrepancy: solar_panel efficiency.,optimize,solar_panel,efficiency,intermittent,heatwave
Reset sensor discrepancy: inverter temperature.,reset,inverter,temperature,unstable,during_peak_hours
Inspect the sudden_drop output_power in the grid_tie_inverter.,inspect,grid_tie_inverter,output_power,sudden_drop,during_peak_hours
Reset anomaly in inverter fault_code.,reset,inverter,fault_code,none,under_cloud_cover
Optimize load_balance readings on the battery_bank.,optimize,battery_bank,load_balance,unstable,under_cloud_cover
Predict state_of_charge readings on the charge_controller.,predict,charge_controller,state_of_charge,none,heatwave
Inspect fault_code readings on the battery_bank.,inspect,battery_bank,fault_code,overload,none
Inspect the battery_bank fault_code.,inspect,battery_bank,fault_code,intermittent,at_night
Check fault_code readings on the battery_bank.,check,battery_bank,fault_code,high,none
Diagnose battery_bank — temperature seems sudden_drop.,diagnose,battery_bank,temperature,sudden_drop,during_peak_hours
Inspect pv_array — fault_code seems overload.,inspect,pv_array,fault_code,overload,at_night
Optimize sensor discrepancy: smart_meter current.,optimize,smart_meter,current,sudden_drop,none
Check issue detected in solar_panel load_balance.,check,solar_panel,load_balance,none,during_peak_hours
Log the pv_array load_balance.,log,pv_array,load_balance,high,during_peak_hours
Optimize battery_bank — temperature seems intermittent.,optimize,battery_bank,temperature,intermittent,heatwave
Reset sensor discrepancy: charge_controller efficiency.,reset,charge_controller,efficiency,critical,post_storm
Monitor battery_bank — efficiency seems sudden_drop.,monitor,battery_bank,efficiency,sudden_drop,post_storm
Log issue detected in pv_array load_balance.,log,pv_array,load_balance,unstable,post_storm
Monitor inverter — state_of_charge seems high.,monitor,inverter,state_of_charge,high,at_night
Predict the inverter output_power.,predict,inverter,output_power,sudden_drop,none
Optimize solar_panel — temperature seems critical.,optimize,solar_panel,temperature,critical,under_cloud_cover
Check why the smart_meter current is intermittent.,check,smart_meter,current,intermittent,post_storm
Diagnose issue detected in pv_array current.,diagnose,pv_array,current,none,heatwave
Log the smart_meter frequency.,log,smart_meter,frequency,overload,post_storm
Optimize smart_meter — current seems none.,optimize,smart_meter,current,none,under_cloud_cover
Optimize grid_tie_inverter — state_of_charge seems low.,optimize,grid_tie_inverter,state_of_charge,low,under_cloud_cover
Optimize issue detected in microgrid_controller output_power.,optimize,microgrid_controller,output_power,overload,during_peak_hours
Diagnose why the solar_panel current is overload.,diagnose,solar_panel,current,overload,post_storm
Log the battery_bank current.,log,battery_bank,current,critical,heatwave
Monitor the solar_panel irradiance.,monitor,solar_panel,irradiance,sudden_drop,under_cloud_cover
Optimize why the solar_panel load_balance is sudden_drop.,optimize,solar_panel,load_balance,sudden_drop,at_night
Reset why the grid_tie_inverter fault_code is intermittent.,reset,grid_tie_inverter,fault_code,intermittent,post_storm
Reset the overload load_balance in the charge_controller.,reset,charge_controller,load_balance,overload,heatwave
Reset voltage readings on the solar_panel.,reset,solar_panel,voltage,high,heatwave
Monitor why the pv_array current is intermittent.,monitor,pv_array,current,intermittent,none
Monitor the inverter irradiance.,monitor,inverter,irradiance,none,under_cloud_cover
Predict the overload irradiance in the pv_array.,predict,pv_array,irradiance,overload,during_peak_hours
Inspect sensor discrepancy: battery_bank frequency.,inspect,battery_bank,frequency,sudden_drop,under_cloud_cover
Inspect anomaly in inverter output_power.,inspect,inverter,output_power,unstable,during_peak_hours
Predict the critical output_power in the pv_array.,predict,pv_array,output_power,critical,heatwave
Check the intermittent temperature in the pv_array.,check,pv_array,temperature,intermittent,post_storm
Inspect sensor discrepancy: smart_meter frequency.,inspect,smart_meter,frequency,intermittent,during_peak_hours
Log anomaly in smart_meter state_of_charge.,log,smart_meter,state_of_charge,sudden_drop,none
Predict issue detected in solar_panel temperature.,predict,solar_panel,temperature,sudden_drop,post_storm
Diagnose anomaly in grid_tie_inverter current.,diagnose,grid_tie_inverter,current,unstable,heatwave
Predict the intermittent frequency in the inverter.,predict,inverter,frequency,intermittent,post_storm
Log sensor discrepancy: microgrid_controller efficiency.,log,microgrid_controller,efficiency,none,during_peak_hours
Inspect issue detected in microgrid_controller output_power.,inspect,microgrid_controller,output_power,critical,post_storm
Reset why the solar_panel frequency is low.,reset,solar_panel,frequency,low,heatwave
Monitor sensor discrepancy: charge_controller state_of_charge.,monitor,charge_controller,state_of_charge,overload,none
Inspect fault_code readings on the charge_controller.,inspect,charge_controller,fault_code,unstable,none
Predict issue detected in solar_panel state_of_charge.,predict,solar_panel,state_of_charge,unstable,heatwave
Reset the smart_meter irradiance.,reset,smart_meter,irradiance,overload,during_peak_hours
Log why the solar_panel efficiency is overload.,log,solar_panel,efficiency,overload,heatwave
Optimize sensor discrepancy: smart_meter voltage.,optimize,smart_meter,voltage,high,heatwave
Reset why the solar_panel voltage is low.,reset,solar_panel,voltage,low,none
Check battery_bank — irradiance seems overload.,check,battery_bank,irradiance,overload,under_cloud_cover
Diagnose sensor discrepancy: microgrid_controller efficiency.,diagnose,microgrid_controller,efficiency,high,post_storm
Optimize temperature readings on the charge_controller.,optimize,charge_controller,temperature,high,none
Check output_power readings on the microgrid_controller.,check,microgrid_controller,output_power,low,none
Check the inverter irradiance.,check,inverter,irradiance,sudden_drop,post_storm
Log sensor discrepancy: smart_meter irradiance.,log,smart_meter,irradiance,low,during_peak_hours
Log load_balance readings on the charge_controller.,log,charge_controller,load_balance,high,at_night
Log sensor discrepancy: grid_tie_inverter frequency.,log,grid_tie_inverter,frequency,low,during_peak_hours
Monitor the charge_controller frequency.,monitor,charge_controller,frequency,critical,at_night
Optimize charge_controller — current seems low.,optimize,charge_controller,current,low,under_cloud_cover
Optimize efficiency readings on the battery_bank.,optimize,battery_bank,efficiency,sudden_drop,at_night
Log why the microgrid_controller voltage is high.,log,microgrid_controller,voltage,high,under_cloud_cover
Inspect why the solar_panel current is sudden_drop.,inspect,solar_panel,current,sudden_drop,during_peak_hours
Predict state_of_charge readings on the microgrid_controller.,predict,microgrid_controller,state_of_charge,intermittent,during_peak_hours
Log current readings on the solar_panel.,log,solar_panel,current,critical,post_storm
Inspect fault_code readings on the inverter.,inspect,inverter,fault_code,intermittent,at_night
